,forecast
2025-10-22 22:40:00,23602.246937185526
2025-10-22 22:45:00,23602.246937185526
2025-10-22 22:50:00,23602.246937185526
2025-10-22 22:55:00,23602.246937185526
2025-10-22 23:00:00,23602.246937185526
2025-10-22 23:05:00,23602.246937185526
2025-10-22 23:10:00,23602.246937185526
2025-10-22 23:15:00,23602.246937185526
2025-10-22 23:20:00,23602.246937185526
2025-10-22 23:25:00,23602.246937185526
2025-10-22 23:30:00,23602.246937185526
2025-10-22 23:35:00,23602.246937185526
2025-10-22 23:40:00,23602.246937185526
2025-10-22 23:45:00,23602.246937185526
2025-10-22 23:50:00,23602.246937185526
2025-10-22 23:55:00,23602.246937185526
2025-10-23 00:00:00,23602.246937185526
